h2_demand_N,h2_demand_NE,h2_demand_MW,h2_demand_SE,h2_demand_S
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
10000,10000,10000,10000,10000
